,full_text
28,Tempohr si Miftah lantang bilang Anies ga punya etika  pdhl dia sendiri yg ga punya etika.  Awak yakin mreka ngeles bilang itu sedekah. Memalukan &amp; menjijikkan! 🤣🤣🤣👎👎👎 https://t.co/fMQaUDLgyN
29,Pokokee...WANI ✊✊✊ RT kerassss https://t.co/eO4ykZU4fC
30,"Saya tidak khawatir  jika saya gagal mendapatkan apa yang sudah direncanakan Tapi saya lebih khawatir jika saya berhasil  namun dengan rencana yang terlalu rendah  Jujur kalau yg nonton live pak anies banyak bgt nasehat untuk anak muda terutama pemilih baruh  Desak anies #AMIN https://t.co/YPKacn8Rpm"""
31,Animo masyarakat Banyuwangi Jawa timur begitu Kuat Mengikuti acara Desak Anies...dalam acara Desak Anies kali ini Edisi Spesial Para Nelayan...  Kamis 28 Desember 2023 https://t.co/mY1lZNAipA
32,Buktikan Rujak dapat proyek di masa Gubernur Anies.  Fitnah.  Pembuktian ada di Anda.
33,Pemilu di Indonesia adalah sekolah paling unik di dunia. Peserta didiknya 204 jt orang lebih. Gurunya para elit yg peduli nasib bangsa. Alhamdulillah Mas Anies dan tim Desak Anies mengembalikan marwah demokrasi Indonesia. Rakyat Indonesia cerdik dan bijak. Pencitraan  joget2 dan… https://t.co/cKXIyjbgCW
34,Lambe Waras: Anies Mulai Mengudara Di Tiktok Untuk Mengubah Polapikir Anak Muda Yang Tadinya Teracuni Dengan Cungar Cengir dan Jogad Joged Sehingga Menjadi Terbuka Wawasannya Untuk Berpikir Tentang PERUBAHAN INDONESIA.  #AMINAjaDulu
35,"Anies: Pesan Perubahan Makin Diterima Masyarakat  ...Survey bilang kita diposisi nomor 2 Alhamdulillah dikatakan diposisi nomor 3 Alhamdulillah karena kita menyaksikan betul makin hari keinginan untuk perubahan itu makin banyak yg menyambut dengan positif..."" Anies Baswedan https://t.co/cOAVCj2ksx"""
36,Kalaupun misalnya Anies menang  kita masih bisa ledekin dia seperti waktu jadi Gubernur DKI.  Apalagi kalau Ganjar yang menang  kita bisa suka ria bebas komen apa aja di media sosial.  Tapi kalau Prabowo yang menang ?   Hiiii.... Langsung pada bungkam. Kengerian orde baru kembali…
37,Posting manies n kerennnya #AniesTakTerbendung ah... Sekalian mantengin TL  kali2 Nemu tuit ga jelas🙄🫣 Anies mang paket komplit  bisa ke bapak2 emak2 anak2 muda jg okeee....ya gaaa... https://t.co/i0xcWy8BOl
38,Kalau ternyata suara AMIN cuma 1  maka itu adalah suara saya murni dari hati . Saya tidak hanya mencari kemenangan  tapi mencari pemimpin yang punya rekam jejak yg humunis saya mencari pemilu yang benar  jujur menuju indoneisa adil dan makmur  desak anies  Salam Perubahan. https://t.co/HW0OyyyfZ4
39,Coba @prabowo bikin acara seperti #DesakAnies.   Acara Desak Anies siapa saja boleh datang; para pembenci Anies dan bukan pendukung Anies. Bebas. Maka sangat wajar jika pendukung 02 yang datang ke Desak Anies  teriak-teriak Prabowo  Prabowo!  Nah  kalau Prabowo bikin acara…
40,Rumusnya manut guru!   Kiyai Dan Pondok Pesantren Se-Jawa Timur Siap Menangkan AMIN Anies-Muhaimin untuk indonesia  #AMINAjaDulu https://t.co/QJWBoHKfnQ
41,"Warga berpanas-panas  Anies juga berpanas-panas.  Kita berkumpul di sini untuk apa?"" ""Perubahan"" ""Perubahan nomornya berapa?"" ""Satu""  Pagi ini 29 Desember 2033 di Blimbingsari  Jawa Timur.  #StopAksiCulasKPU  #StopAksiCulasKPU https://t.co/ZGeMRGcuxq"""
42,Seharian ini tepar flu  kenapa “Desak Anies” trending ya?
43,Sdh diduga acara Desak Anies akan menemui hambatan termasuk teriakan2 nomor paslon lain di depan Anies. Desak Anies menanjak trendnya. Cuma itu cara mrk menghadang laju Desak Anies yg kian fenomenal  Desah Dengki. Ga ada lagi. 🤷🏻‍♂️ Mrk phobia Desak Anies krn potensi kalah menguat.
44,Ada nelayan yg menempuh perjalanan 18 jam untuk menyampaikan langsung permasalahan dan harapannya. Ini artinya acara Desak Anies sudah menancap bukan hanya buat orang kota dan intelek saja.  Rakyat benar2 ingin mengetahui isi kepala calon pemimpinnya.
45,Gubernur Anies itu sadar branding. Lihat aja itu plus jakarta dan city of collaboration.   DP0 dan semua program perumahan: JakHabitat OK OTRIP: JakLingko OKE OCE: JakPreneur  Jadi kalau masih ada yg tanyain OKE OCE ya udah ketinggalan berita dr 2021 🤭🤭
46,Momen kedatangan pak Anies Baswedan disambut antusias suku Osing di desa Kemiren  Kecamatan Glagah  Kab banyuwangi  Jawa Timur   #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/7sZt4n7bzE
47,Oh jadi yg ngebet pen bubarin FPI itu Jokowi to sebab dianggap radikal krn selalu kritik pemerintah.. Fix ya  ummat muslim yg suka kritik  yg ulamanya gak pro Jokowi itu dianggap Radikal! Pendukung wowo hari ini udah koar² ngapain dukung Anies yg didukung SP dan Metro TV belum?😆 https://t.co/aVl6UPqNV6
48,Alhamdulillah..  PonPes Lirboyo menempatkan Pak Anies di Pilpres.  Aamiin ya Allah🤲🤲 https://t.co/PeWHEBpVK2
49,Data dari IndoRiset - 1 putaran makin jauh - Anies ninggalin ganjar cukup jauh - Dan yang undecided naik dikit.  Disaster nih buat 02  udah pegang semuanya masih belum bisa nyentuh 50 persen  Gaspol AM1N lolos putaran kedua  menang satu putaran bonus 😇 https://t.co/hKkLXjYlDn
50,Anies tidak aman.  Info dari pusat:  MK  Bawaslu  TNI  Polri akan menjegal Anies di bawah komando Jokowi  #StopAksiCulasKPU  #StopAksiCulasKPU https://t.co/7RzNQPWDPW
51,Mari menangkan AMIN (Anies Baswedan dan Muhaimin Iskandar) di Pilpres 2024 dan PKS di pemilu 2024 https://t.co/JUxzsSNMx3
52,WALHI Undang 3 Capres  Hanya Anies Yang Hadir. . https://t.co/sIZIodh7As . https://t.co/uk1tGs1o6c
53,Lamongan Jawa timur AMIN...AMIN...AMIN...hari ini pak Anies di Lamongan Jawa timur Meriah dan dialog bersama petani dan NELAYAN di Tempat pelelangan ikan Brondong Lamongan  Jumat 29 Desember 2023 https://t.co/XDySVaRTvf
54,Anies tidak ada keinginan untuk menaikkan pajak dan tidak ingin menyebut wajib pajak sebagai binatang.  Pengumuman penting. Tolong sebarluaskan ke anak cucu. Hahaha   #GibranAntiPerubahan  #GibranAntiPerubahan https://t.co/BWDCgzXbvo
55,Alhamdulillah. Semoga Anies menang satu putaran. Semangaaat https://t.co/tOBmbcNvaa
56,Banyak anak2 muda yang bergerak membantah @aniesbaswedan saat ini. Saya perhatikan cerdas cerdas argumen mereka dan berdasarkan data dan fakta.   Viral di tiktok vidio ini  silahkan ditonton netizen twitter.  Pak Anies memang belum layak jadi Presiden RI 😊 https://t.co/i0u2vCuYbC
57,"Karna Si Ibu yg Nanya tdk duduk  Maka Pak Anies yg Berdiri   Ciri² Pemimpin yg berkeadilan ' https://t.co/bDmPLLeJAx"""
58,Aksi sosial Relawan Sobat Anies Grobogan pengantaran berobat warga  ke Rumah Sakit dengan Mobil Operasional AMIN...🙏 #SobatAnies #AMINAjaDulu https://t.co/whLw3Dcno8
59,PILIH ANIES AMIN.  Demi Perubahan Berkeadilan Anies Muhaemin (AMIN) No.1 1. meningkatkan yg baik   2. Mengoreksi yg kurang   3. Menghentikan yg salah   4. Membawa yg baru yg blm dikerjakan.  PEMILU; Mencari Orang Baik  Berintegritas  Kompeten  Komitmen. https://t.co/D2juV2GRza
60,Bagi Tom Lembong  kans Anies untuk menang sangat besar 💞🇮🇩  #AMINAjaDulu  #AniesMuhaimin2024 https://t.co/erOktuJLgx
61,Anies Baswedan mengaku dirinya menjadi capres 'modal dengkul'. Hal itu karena baliho dirinya dan Cak Imin sedikit  sehingga harus berkampanye ke luar daerah. https://t.co/dZG8hxVZkW
62,"Spesial Edisi NELAYAN di acara Desak Anies Bayuwangi Jawa timur...prinsip keadilan menjadi Pilar utama kebijakan AMIN dalam Konsep PERUBAHAN .. Membesarkan yg Kecil Tanpa Mengecilkan yg sudah Besar "" https://t.co/YI2yNHotc5"""
63,Gw juga bisa begitu mah. Kalo di kampanye Anies lalu nyusup beberapa org utk teriak nama Prabowo  ya gak bakal diapa-apain. Bebas aja  demokrasi.   Coba kira-kira kalo di kampanye Prabowo atau Gibran  ada yg teriak nama Anies  kira-kira bakal gimana nasibnya orang itu ya? Ada yg…
