all_slang,tokens
jawab,['jawab']
lokal,['lokal']
yang,['yang']
wajib,['wajib']
kalian,['kalian']
botol,['botol']
kedua,['kedua']
dan,['dan']
baru,['baru']
yang,['yang']
vitamin,['vitamin']
enak,['enak']
ternyata,['ternyata']
tahan,['tahan']
lama,['lama']
juga,['juga']
jam,['jam']
pagi,['pagi']
masih,['masih']
enak,['enak']
di,['di']
baju,['baju']
dong,['dong']
padahal,['padahal']
kena,['kena']
keringat,['keringat']
juga,['juga']
masalah,['masalah']
dan,['dan']
punya,['punya']
,[]
tengah,['tengah']
sumpah,['sumpah']
ingat,['ingat']
pakai,['pakai']
dah,['dah']
cukup,['cukup']
untuk,['untuk']
muka,['muka']
bersih,['bersih']
sekali,['sekali']
pakai,['pakai']
keluar,['keluar']
segala,['segala']
kekotoran,['kekotoran']
lagi,['lagi']
memang,['memang']
tau,['tau']
lepas,['lepas']
guna,['guna']
kalau,['kalau']
bukan,['bukan']
yang,['yang']
ampuh,['ampuh']
jerawat,['jerawat']
di,['di']
atas,['atas']
aja,['aja']
membuktikan,['membuktikan']
sekarang,['sekarang']
giliran,['giliran']
kamu,['kamu']
yuk,['yuk']
aduh,['aduh']
aku,['aku']
makan,['makan']
guna,['guna']
duit,['duit']
sendiri,['sendiri']
beli,['beli']
baju,['baju']
semua,['semua']
padahal,['padahal']
semua,['semua']
suami,['suami']
yang,['yang']
kena,['kena']
pun,['pun']
tak,['tak']
bersyukur,['bersyukur']
ke,['ke']
satu,['satu']
wajib,['wajib']
pas,['pas']
liburan,['liburan']
bawa,['bawa']
ini,['ini']
lembab,['lembab']
bikin,['bikin']
bikin,['bikin']
step,['step']
lebih,['lebih']
ini,['ini']
aja,['aja']
abis,['abis']
ini,['ini']
bakalan,['bakalan']
ikut,['ikut']
masuk,['masuk']
sambil,['sambil']
kesukaan,['kesukaan']
apa,['apa']
tapi,['tapi']
beli,['beli']
aja,['aja']
biar,['biar']
sekalian,['sekalian']
keren,['keren']
berarti,['berarti']
anti,['anti']
banjir,['banjir']
ada,['ada']
mana,['mana']
kembalian,['kembalian']
dikit,['dikit']
buat,['buat']
beli,['beli']
makan,['makan']
makanan,['makanan']
berminyak,['berminyak']
akan,['akan']
ada,['ada']
di,['di']
bibir,['bibir']
natural,['natural']
dan,['dan']
lengket,['lengket']
minyak,['minyak']
canggih,['canggih']
bet,['bet']
ini,['ini']
cuma,['cuma']
bisa,['bisa']
doang,['doang']
bisa,['bisa']
anjir,['anjir']
on,['on']
to,['to']
do,['do']
to,['to']
no,['no']
baik,['baik']
mencegah,['mencegah']
serum,['serum']
masuk,['masuk']
tahapan,['tahapan']
kalo,['kalo']
bisa,['bisa']
boleh,['boleh']
skip,['skip']
kalian,['kalian']
ini,['ini']
ternyata,['ternyata']
emang,['emang']
bagus,['bagus']
banget,['banget']
ya,['ya']
ini,['ini']
aku,['aku']
pakai,['pakai']
rangkaian,['rangkaian']
ada,['ada']
dan,['dan']
cocok,['cocok']
efek,['efek']
dan,['dan']
lebih,['lebih']
bersih,['bersih']
dan,['dan']
,[]
soren,['soren']
kepala,['kepala']
tengok,['tengok']
wanita,['wanita']
cantik,['cantik']
pakai,['pakai']
muka,['muka']
nampak,['nampak']
tak,['tak']
baru,['baru']
lepas,['lepas']
memasak,['memasak']
malas,['malas']
lepas,['lepas']
suka,['suka']
ni,['ni']
sebab,['sebab']
ada,['ada']
on,['on']
tapi,['tapi']
muka,['muka']
long,['long']
term,['term']
wan,['wan']
na,['na']
bodoh,['bodoh']
borong,['borong']
semuanya,['semuanya']
opini,['opini']
pribadi,['pribadi']
masuk,['masuk']
si,['si']
ikut,['ikut']
beli,['beli']
aku,['aku']
mau,['mau']
orang,['orang']
rahasia,['rahasia']
kulit,['kulit']
bagusan,['bagusan']
apa,['apa']
pasti,['pasti']
bikin,['bikin']
bibir,['bibir']
kamu,['kamu']
ke,['ke']
aku,['aku']
mana,['mana']
baru,['baru']
perasan,['perasan']
banyak,['banyak']
gila,['gila']
produk,['produk']
eh,['eh']
banyak,['banyak']
lah,['lah']
kali,['kali']
sebab,['sebab']
ada,['ada']
tak,['tak']
yang,['yang']
dah,['dah']
akan,['akan']
lagi,['lagi']
nak,['nak']
tahu,['tahu']
emang,['emang']
ya,['ya']
ke,['ke']
salon,['salon']
bareng,['bareng']
bareng,['bareng']
jajan,['jajan']
bareng,['bareng']
jajan,['jajan']
baju,['baju']
cantik,['cantik']
bareng,['bareng']
bareng,['bareng']
duh,['duh']
yang,['yang']
mau,['mau']
dari,['dari']
gampang,['gampang']
banget,['banget']
dan,['dan']
ini,['ini']
dengan,['dengan']
produk,['produk']
kamu,['kamu']
merasa,['merasa']
cerdas,['cerdas']
selama,['selama']
ini,['ini']
karena,['karena']
bisa,['bisa']
pilih,['pilih']
produk,['produk']
cuma,['cuma']
efektif,['efektif']
ternyata,['ternyata']
