all_slang,tokens
kalo,['kalo']
semua,['semua']
dia,['dia']
semuanya,['semuanya']
kalo,['kalo']
bakal,['bakal']
yang,['yang']
tipe,['tipe']
orang,['orang']
yang,['yang']
susah,['susah']
sama,['sama']
produk,['produk']
tapi,['tapi']
,[]
untuk,['untuk']
mulai,['mulai']
ini,['ini']
amatan,['amatan']
dan,['dan']
suatu,['suatu']
waktu,['waktu']
kantor,['kantor']
bilang,['bilang']
kak,['kak']
kok,['kok']
muka,['muka']
lo,['lo']
kusam,['kusam']
si,['si']
sadar,['sadar']
sih,['sih']
muka,['muka']
gua,['gua']
kusam,['kusam']
tapi,['tapi']
pas,['pas']
kantor,['kantor']
begitu,['begitu']
kek,['kek']
langsung,['langsung']
oke,['oke']
deh,['deh']
gua,['gua']
to,['to']
cocok,['cocok']
deh,['deh']
nih,['nih']
buat,['buat']
yang,['yang']
cari,['cari']
mau,['mau']
untuk,['untuk']
orang,['orang']
pemenang,['pemenang']
dan,['dan']
akan,['akan']
tahan,['tahan']
demi,['demi']
sayang,['sayang']
kena,['kena']
air,['air']
mata,['mata']
abis,['abis']
berapa,['berapa']
buat,['buat']
baru,['baru']
dari,['dari']
ternyata,['ternyata']
enak,['enak']
dia,['dia']
mudah,['mudah']
bikin,['bikin']
lembab,['lembab']
no,['no']
dan,['dan']
yang,['yang']
penting,['penting']
bikin,['bikin']
perih,['perih']
di,['di']
mata,['mata']
ini,['ini']
juga,['juga']
lulus,['lulus']
dengan,['dengan']
bisa,['bisa']
jadi,['jadi']
resolusi,['resolusi']
nih,['nih']
tangkap,['tangkap']
punya,['punya']
waktu,['waktu']
bila,['bila']
pakai,['pakai']
bangun,['bangun']
rasa,['rasa']
harga,['harga']
dia,['dia']
patut,['patut']
mahal,['mahal']
gue,['gue']
abis,['abis']
malah,['malah']
ini,['ini']
tak,['tak']
kena,['kena']
ya,['ya']
bukan,['bukan']
keperluan,['keperluan']
boleh,['boleh']
hidup,['hidup']
tanpa,['tanpa']
mini,['mini']
au,['au']
ini,['ini']
cuma,['cuma']
tentang,['tentang']
si,['si']
di,['di']
yang,['yang']
abis,['abis']
terus,['terus']
sama,['sama']
yang,['yang']
benci,['benci']
tanpa,['tanpa']
sama,['sama']
dia,['dia']
bentuk,['bentuk']
telur,['telur']
juga,['juga']
butuh,['butuh']
loh,['loh']
yuk,['yuk']
simak,['simak']
apa,['apa']
aja,['aja']
untuk,['untuk']
si,['si']
semuanya,['semuanya']
mau,['mau']
minta,['minta']
tolong,['tolong']
buat,['buat']
isi,['isi']
kuesioner,['kuesioner']
skripsi,['skripsi']
aku,['aku']
tentang,['tentang']
pengguna,['pengguna']
yang,['yang']
pernah,['pernah']
promosi,['promosi']
di,['di']
aku,['aku']
makin,['makin']
untuk,['untuk']
yang,['yang']
jelita,['jelita']
tertinggal,['tertinggal']
di,['di']
tahun,['tahun']
ini,['ini']
di,['di']
aku,['aku']
taun,['taun']
ini,['ini']
jarang,['jarang']
jerawatan,['jerawatan']
makin,['makin']
aku,['aku']
kulit,['kulit']
malah,['malah']
sehat,['sehat']
berulah,['berulah']
aneh,['aneh']
loh,['loh']
aku,['aku']
mau,['mau']
aku,['aku']
ya,['ya']
beberapa,['beberapa']
dan,['dan']
yang,['yang']
aku,['aku']
ni,['ni']
betul,['betul']
bukan,['bukan']
keperluan,['keperluan']
pun,['pun']
boleh,['boleh']
hidup,['hidup']
syarat,['syarat']
berbalik,['berbalik']
kepada,['kepada']
alami,['alami']
percaya,['percaya']
produk,['produk']
yang,['yang']
buat,['buat']
kulit,['kulit']
cantik,['cantik']
padahal,['padahal']
tidur,['tidur']
pun,['pun']
kena,['kena']
ambil,['ambil']
kira,['kira']
juga,['juga']
ini,['ini']
kulit,['kulit']
lagi,['lagi']
rewel,['rewel']
muncul,['muncul']
jerawat,['jerawat']
cukup,['cukup']
lama,['lama']
dan,['dan']
yang,['yang']
bisa,['bisa']
aku,['aku']
serum,['serum']
ini,['ini']
dan,['dan']
alhamdulillah,['alhamdulillah']
membaik,['membaik']
dalam,['dalam']
hari,['hari']
hospital,['hospital']
kebanyakan,['kebanyakan']
cewek,['cewek']
yang,['yang']
mau,['mau']
sadar,['sadar']
kebersihan,['kebersihan']
peduli,['peduli']
sama,['sama']
atau,['atau']
setidaknya,['setidaknya']
we,['we']
kalo,['kalo']
tongkrongan,['tongkrongan']
lo,['lo']
jadi,['jadi']
cowok,['cowok']
yang,['yang']
dan,['dan']
diri,['diri']
laki,['laki']
usah,['usah']
abis,['abis']
pasta,['pasta']
gigi,['gigi']
mengandung,['mengandung']
bahan,['bahan']
kimia,['kimia']
semua,['semua']
mahal,['mahal']
tapi,['tapi']
belum,['belum']
bersih,['bersih']
loh,['loh']
tapi,['tapi']
segala,['segala']
macam,['macam']
debu,['debu']
kotoran,['kotoran']
di,['di']
kulit,['kulit']
doang,['doang']
kurang,['kurang']
bersih,['bersih']
pasti,['pasti']
langsung,['langsung']
muncul,['muncul']
jerawat,['jerawat']
to,['to']
karena,['karena']
liburan,['liburan']
kali,['kali']
ini,['ini']
usah,['usah']
bawa,['bawa']
definisi,['definisi']
cuman,['cuman']
produk,['produk']
aja,['aja']
kulit,['kulit']
jadi,['jadi']
ampun,['ampun']
abis,['abis']
global,['global']
oke,['oke']
karena,['karena']
aku,['aku']
sudah,['sudah']
gajian,['gajian']
aku,['aku']
akan,['akan']
buat,['buat']
gedor,['gedor']
barang,['barang']
yang,['yang']
kamu,['kamu']
barang,['barang']
ya,['ya']
boleh,['boleh']
tas,['tas']
baju,['baju']
aku,['aku']
aja,['aja']
ya,['ya']
pemenang,['pemenang']
abis,['abis']
produk,['produk']
yang,['yang']
bisa,['bisa']
bikin,['bikin']
mulus,['mulus']
kembali,['kembali']
ketemu,['ketemu']
lah,['lah']
sama,['sama']
no,['no']
dari,['dari']
rintik,['rintik']
ini,['ini']
mau,['mau']
sungkem,['sungkem']
kulit,['kulit']
kasar,['kasar']
ada,['ada']
dan,['dan']
lembab,['lembab']
kalau,['kalau']
tapi,['tapi']
emang,['emang']
ini,['ini']
mau,['mau']
lagi,['lagi']
kulit,['kulit']
aku,['aku']
suka,['suka']
andalan,['andalan']
kalau,['kalau']
kulit,['kulit']
lagi,['lagi']
ada,['ada']
problem,['problem']
tapi,['tapi']
takut,['takut']
banyak,['banyak']
ya,['ya']
pasti,['pasti']
aku,['aku']
selalu,['selalu']
ini,['ini']
aja,['aja']
stok,['stok']
pribadi,['pribadi']
jadi,['jadi']
aku,['aku']
jual,['jual']
murah,['murah']
aja,['aja']
di,['di']
ya,['ya']
kenapa,['kenapa']
semua,['semua']
habis,['habis']
bersamaan,['bersamaan']
la,['la']
sibuk,['sibuk']
dengan,['dengan']
,[]
satu,['satu']
selalu,['selalu']
kalo,['kalo']
liburan,['liburan']
karena,['karena']
aku,['aku']
cinta,['cinta']
selalu,['selalu']
pas,['pas']
bikin,['bikin']
kulit,['kulit']
sehat,['sehat']
super,['super']
ringan,['ringan']
bekas,['bekas']
jerawat,['jerawat']
juga,['juga']
saat,['saat']
lagi,['lagi']
lagi,['lagi']
liburan,['liburan']
pasti,['pasti']
aku,['aku']
cari,['cari']
yang,['yang']
tapi,['tapi']
harus,['harus']
biar,['biar']
yang,['yang']
ini,['ini']
gampang,['gampang']
iritasi,['iritasi']
dan,['dan']
ada,['ada']
cinta,['cinta']
sama,['sama']
serum,['serum']
ini,['ini']
dari,['dari']
lama,['lama']
baru,['baru']
butuh,['butuh']
baru,['baru']
juga,['juga']
sih,['sih']
kebetulan,['kebetulan']
aku,['aku']
lagi,['lagi']
tertarik,['tertarik']
nih,['nih']
dari,['dari']
satu,['satu']
naungan,['naungan']
pasti,['pasti']
aman,['aman']
kaleng,['kaleng']
to,['to']
spesial,['spesial']
akhir,['akhir']
tahun,['tahun']
ini,['ini']
untuk,['untuk']
aku,['aku']
cek,['cek']
pemenang,['pemenang']
mahal,['mahal']
baju,['baju']
mahal,['mahal']
untuk,['untuk']
kau,['kau']
mat,['mat']
bini,['bini']
muka,['muka']
serabai,['serabai']
kau,['kau']
serabut,['serabut']
cari,['cari']
lain,['lain']
kata,['kata']
bini,['bini']
tak,['tak']
jaga,['jaga']
muka,['muka']
tak,['tak']
jaga,['jaga']
badan,['badan']
aku,['aku']
marah,['marah']
ni,['ni']
ya,['ya']
dok,['dok']
kulit,['kulit']
cantik,['cantik']
ni,['ni']
mohon,['mohon']
filter,['filter']
dari,['dari']
media,['media']
tipu,['tipu']
dah,['dah']
tahu,['tahu']
kulit,['kulit']
muka,['muka']
tempek,['tempek']
lah,['lah']
ribu,['ribu']
kalau,['kalau']
tidur,['tidur']
minum,['minum']
air,['air']
tak,['tak']
cukup,['cukup']
bersenam,['bersenam']
malas,['malas']
harap,['harap']
yang,['yang']
lagi,['lagi']
atau,['atau']
kayak,['kayak']
aku,['aku']
punya,['punya']
bekas,['bekas']
jerawat,['jerawat']
kemerahan,['kemerahan']
rajin,['rajin']
pagi,['pagi']
satu,['satu']
hal,['hal']
yang,['yang']
paling,['paling']
penting,['penting']
dalam,['dalam']
tahap,['tahap']
yaitu,['yaitu']
itu,['itu']
walaupun,['walaupun']
cuma,['cuma']
berkegiatan,['berkegiatan']
aja,['aja']
apalagi,['apalagi']
keluar,['keluar']
rumah,['rumah']
harus,['harus']
banget,['banget']
biar,['biar']
ada,['ada']
debu,['debu']
di,['di']
muka,['muka']
aku,['aku']
bagi,['bagi']
bagi,['bagi']
ku,['ku']
pada,['pada']
mau,['mau']
ya,['ya']
suami,['suami']
tak,['tak']
jangan,['jangan']
marah,['marah']
bini,['bini']
tak,['tak']
cantik,['cantik']
jangan,['jangan']
marah,['marah']
bini,['bini']
cari,['cari']
duit,['duit']
tepi,['tepi']
beli,['beli']
halang,['halang']
bini,['bini']
cari,['cari']
duit,['duit']
demi,['demi']
beli,['beli']
baik,['baik']
dia,['dia']
tak,['tak']
akan,['akan']
suami,['suami']
tak,['tak']
kalau,['kalau']
dia,['dia']
dah,['dah']
usaha,['usaha']
sehabis,['sehabis']
baik,['baik']
semua,['semua']
sebelum,['sebelum']
tidur,['tidur']
kalian,['kalian']
gigi,['gigi']
cuci,['cuci']
muka,['muka']
tidur,['tidur']
muka,['muka']
sikat,['sikat']
gigi,['gigi']
tidur,['tidur']
atau,['atau']
kali,['kali']
ini,['ini']
mau,['mau']
sendiri,['sendiri']
dengan,['dengan']
bawa,['bawa']
karena,['karena']
aku,['aku']
menemukan,['menemukan']
harta,['harta']
karun,['karun']
yaitu,['yaitu']
dan,['dan']
dari,['dari']
walaupun,['walaupun']
lagi,['lagi']
tolong,['tolong']
sobat,['sobat']
dalam,['dalam']
pemakaian,['pemakaian']
itu,['itu']
masuk,['masuk']
ke,['ke']
salah,['salah']
satu,['satu']
selain,['selain']
pemakaian,['pemakaian']
kita,['kita']
bakalan,['bakalan']
maksimal,['maksimal']
kalau,['kalau']
kulit,['kulit']
kita,['kita']
belum,['belum']
dengan,['dengan']
benar,['benar']
walaupun,['walaupun']
di,['di']
rumah,['rumah']
aja,['aja']
harus,['harus']
karena,['karena']
kulit,['kulit']
kita,['kita']
memproduksi,['memproduksi']
minyak,['minyak']
dan,['dan']
pacar,['pacar']
wajib,['wajib']
kah,['kah']
buat,['buat']
cowok,['cowok']
apa,['apa']
aja,['aja']
sih,['sih']
,[]
aku,['aku']
bingung,['bingung']
di,['di']
boikot,['boikot']
kulit,['kulit']
aku,['aku']
sensitif,['sensitif']
ada,['ada']
jerawat,['jerawat']
susah,['susah']
cari,['cari']
cocok,['cocok']
diri,['diri']
cocok,['cocok']
banget,['banget']
mana,['mana']
cuma,['cuma']
ribuan,['ribuan']
aja,['aja']
si,['si']
misal,['misal']
kita,['kita']
pacaran,['pacaran']
sama,['sama']
kita,['kita']
bakal,['bakal']
kalah,['kalah']
saing,['saing']
biasanya,['biasanya']
yang,['yang']
suka,['suka']
lama,['lama']
dandan,['dandan']
kalau,['kalau']
sama,['sama']
bakal,['bakal']
kita,['kita']
yang,['yang']
soal,['soal']
bakalan,['bakalan']
kalah,['kalah']
banyak,['banyak']
sama,['sama']
dia,['dia']
yang,['yang']
masuk,['masuk']
mau,['mau']
keranjang,['keranjang']
belanja,['belanja']
ikut,['ikut']
masuk,['masuk']
buat,['buat']
cari,['cari']
ikut,['ikut']
masuk,['masuk']
gue,['gue']
minta,['minta']
jadi,['jadi']
ikut,['ikut']
masuk,['masuk']
cari,['cari']
tapi,['tapi']
mana,['mana']
yang,['yang']
bagus,['bagus']
ikut,['ikut']
masuk,['masuk']
menjadi,['menjadi']
keracunan,['keracunan']
polusi,['polusi']
pabrik,['pabrik']
klorin,['klorin']
masker,['masker']
pemanis,['pemanis']
pengawet,['pengawet']
air,['air']
tercemar,['tercemar']
deodoran,['deodoran']
parfum,['parfum']
secara,['secara']
musiman,['musiman']
tubuh,['tubuh']
kita,['kita']
membersihkan,['membersihkan']
rumah,['rumah']
dan,['dan']
detoksifikasi,['detoksifikasi']
selama,['selama']
proses,['proses']
ini,['ini']
tubuh,['tubuh']
kita,['kita']
sakit,['sakit']
tahun,['tahun']
barang,['barang']
ya,['ya']
sih,['sih']
aku,['aku']
mau,['mau']
jual,['jual']
aku,['aku']
biar,['biar']
di,['di']
rumah,['rumah']
produk,['produk']
di,['di']
tahun,['tahun']
ini,['ini']
jadi,['jadi']
masih,['masih']
panjang,['panjang']
banget,['banget']
yang,['yang']
aku,['aku']
jual,['jual']
juga,['juga']
masih,['masih']
baru,['baru']
semua,['semua']
ya,['ya']
apa,['apa']
aja,['aja']
bisa,['bisa']
sending,['sending']
to,['to']
to,['to']
to,['to']
had,['had']
to,['to']
to,['to']
nova,['nova']
banyak,['banyak']
yang,['yang']
saja,['saja']
penting,['penting']
sama,['sama']
lagi,['lagi']
koleksi,['koleksi']
ponakan,['ponakan']
eh,['eh']
pas,['pas']
lagi,['lagi']
di,['di']
eksekusi,['eksekusi']
muka,['muka']
gue,['gue']
kenyal,['kenyal']
seluruh,['seluruh']
artis,['artis']
untuk,['untuk']
dukung,['dukung']
rezim,['rezim']
karena,['karena']
kalau,['kalau']
tidak,['tidak']
mereka,['mereka']
akan,['akan']
uang,['uang']
negara,['negara']
triliunan,['triliunan']
mereka,['mereka']
sedang,['sedang']
bergerak,['bergerak']
beli,['beli']
dulu,['dulu']
dulu,['dulu']
yang,['yang']
mulai,['mulai']
liburan,['liburan']
nih,['nih']
kalian,['kalian']
selama,['selama']
liburan,['liburan']
suka,['suka']
banyak,['banyak']
step,['step']
sih,['sih']
aku,['aku']
biasanya,['biasanya']
selalu,['selalu']
punya,['punya']
produk,['produk']
yang,['yang']
yaitu,['yaitu']
to,['to']
do,['do']
ayo,['ayo']
,[]
sih,['sih']
riil,['riil']
gebrakan,['gebrakan']
baru,['baru']
kandungan,['kandungan']
unik,['unik']
berupa,['berupa']
dan,['dan']
dari,['dari']
ini,['ini']
siap,['siap']
bikin,['bikin']
kulit,['kulit']
kalian,['kalian']
lebih,['lebih']
halus,['halus']
dan,['dan']
lembap,['lembap']
abis,['abis']
ya,['ya']
pulang,['pulang']
mandi,['mandi']
balur,['balur']
badan,['badan']
tidur,['tidur']
yang,['yang']
pengobatan,['pengobatan']
jerawat,['jerawat']
aku,['aku']
dari,['dari']
akhir,['akhir']
ini,['ini']
,[]
lah,['lah']
lo,['lo']
be,['be']
hai,['hai']
nahi,['nahi']
sakti,['sakti']
abis,['abis']
sekarang,['sekarang']
siapa,['siapa']
sih,['sih']
ini,['ini']
jatuh,['jatuh']
cinta,['cinta']
sama,['sama']
produk,['produk']
ada,['ada']
kemerahan,['kemerahan']
di,['di']
jadi,['jadi']
berkurang,['berkurang']
,[]
bisa,['bisa']
kirim,['kirim']
dong,['dong']
lagi,['lagi']
suka,['suka']
banget,['banget']
nih,['nih']
buat,['buat']
sisa,['sisa']
dan,['dan']
kotoran,['kotoran']
di,['di']
wajah,['wajah']
rekomendasi,['rekomendasi']
untuk,['untuk']
berbagai,['berbagai']
tipe,['tipe']
kulit,['kulit']
lu,['lu']
,[]
as,['as']
global,['global']
cocok,['cocok']
buat,['buat']
kalian,['kalian']
halus,['halus']
apa,['apa']
sih,['sih']
kok,['kok']
bisa,['bisa']
halus,['halus']
rasa,['rasa']
kacau,['kacau']
orang,['orang']
pun,['pun']
kalau,['kalau']
nak,['nak']
jual,['jual']
tak,['tak']
payah,['payah']
la,['la']
tebal,['tebal']
macam,['macam']
lah,['lah']
dengar,['dengar']
tak,['tak']
dulu,['dulu']
dah,['dah']
sebab,['sebab']
to,['to']
kulit,['kulit']
ni,['ni']
kan,['kan']
sikit,['sikit']
abis,['abis']
liburan,['liburan']
agak,['agak']
gosong,['gosong']
sih,['sih']
perjalanan,['perjalanan']
naik,['naik']
motor,['motor']
mana,['mana']
jangan,['jangan']
lupa,['lupa']
sebelum,['sebelum']
tidur,['tidur']
agak,['agak']
harus,['harus']
dong,['dong']
biar,['biar']
kulit,['kulit']
wajah,['wajah']
sehat,['sehat']
jadi,['jadi']
nih,['nih']
muka,['muka']
lagi,['lagi']
sering,['sering']
aku,['aku']
banyak,['banyak']
yang,['yang']
ini,['ini']
ya,['ya']
definisi,['definisi']
campuran,['campuran']
manis,['manis']
dan,['dan']
juga,['juga']
mendeskripsikan,['mendeskripsikan']
wangi,['wangi']
wanita,['wanita']
dewasa,['dewasa']
seserahan,['seserahan']
yang,['yang']
contoh,['contoh']
,[]
ada,['ada']
ide,['ide']
kalo,['kalo']
personal,['personal']
jadi,['jadi']
yang,['yang']
kaya,['kaya']
banget,['banget']
dengan,['dengan']
penghasilan,['penghasilan']
per,['per']
hari,['hari']
banyak,['banyak']
yang,['yang']
suka,['suka']
Desember,['Desember']
hemat,['hemat']
hingga,['hingga']
start,['start']
aja,['aja']
juga,['juga']
bakalan,['bakalan']
hadiah,['hadiah']
produk,['produk']
favorit,['favorit']
kamu,['kamu']
yang,['yang']
rekomendasi,['rekomendasi']
yang,['yang']
masuk,['masuk']
boikot,['boikot']
selain,['selain']
dan,['dan']
dari,['dari']
paragon,['paragon']
pernah,['pernah']
dan,['dan']
pernah,['pernah']
cocok,['cocok']
ama,['ama']
kulit,['kulit']
semua,['semua']
bisnis,['bisnis']
pernah,['pernah']
aku,['aku']
coba,['coba']
mulai,['mulai']
panas,['panas']
kocok,['kocok']
minuman,['minuman']
pakaian,['pakaian']
pernah,['pernah']
punya,['punya']
bisnis,['bisnis']
dekor,['dekor']
sejauh,['sejauh']
ini,['ini']
ini,['ini']
paling,['paling']
konsisten,['konsisten']
dan,['dan']
paling,['paling']
cocok,['cocok']
di,['di']
aku,['aku']
do,['do']
tebal,['tebal']
dan,['dan']
bulu,['bulu']
mata,['mata']
panjang,['panjang']
lentik,['lentik']
